Asin,joy,fear,anger,sadness,disgust,shame,guilt
B005TVG1GM,11.54,0.0,30.77,0.0,7.69,38.46,11.54
B0051VE086,15.79,5.26,26.32,0.0,21.05,21.05,10.53
B00629ZTOU,18.56,4.19,13.77,5.39,13.17,28.14,16.77
B005GI9EXU,0.0,0.0,20.0,0.0,0.0,20.0,60.0
B00586XP5S,21.29,1.94,14.84,3.87,10.97,36.13,10.97
B0057PIJZ6,22.22,0.0,14.81,0.0,18.52,29.63,14.81
B005QEA87A,19.19,1.68,18.86,5.72,10.77,33.67,10.1
B005RF9ZUY,8.51,2.13,30.85,1.06,11.7,36.17,9.57
B005TLKZR8,17.42,3.37,19.1,5.06,13.48,32.58,8.99
B006DJSRIO,16.11,5.56,12.22,2.78,20.0,28.33,15.0
B005OC5QXK,20.59,0.98,9.31,1.96,29.41,25.98,11.76
B004E9U9AY,12.37,1.03,14.43,6.19,20.62,30.93,14.43
B004WPNCPY,13.46,0.0,23.08,5.77,21.15,28.85,7.69
B005JUPU60,10.71,0.0,25.0,0.0,10.71,21.43,32.14
B005V2H54G,0.0,0.0,20.0,0.0,0.0,70.0,10.0
B004UBNG10,14.29,6.12,14.29,4.08,14.29,38.78,8.16
B005GHQ9IY,4.69,1.56,25.0,4.69,14.06,32.81,17.19
B005N9FPOO,16.07,1.79,26.79,1.79,17.86,23.21,12.5
B004SI455Q,13.57,0.0,21.43,5.71,9.29,33.57,16.43
B003CC1LDS,13.04,4.35,21.74,4.35,0.0,47.83,8.7
B0055LH6SS,16.67,16.67,33.33,8.33,0.0,8.33,16.67
B0051UBSLE,6.25,25.0,31.25,0.0,12.5,25.0,0.0
B004E3XI08,0.0,0.0,45.45,0.0,9.09,36.36,9.09
B0060EHJX6,14.1,1.28,19.23,1.28,14.1,43.59,6.41
B00480OJR8,8.0,8.0,32.0,8.0,8.0,20.0,16.0
B005UO7QUI,0.0,0.0,36.36,0.0,9.09,45.45,9.09
B0066B7KGE,13.89,8.33,22.22,8.33,8.33,30.56,8.33
B005DTRYNO,12.96,3.7,31.48,0.0,12.96,27.78,11.11
B004YZB8XU,15.38,0.0,24.62,3.08,7.69,40.0,9.23
B005110E0O,10.07,2.16,22.3,3.6,16.55,31.65,13.67
B00480OPOK,12.04,5.56,18.52,2.78,10.19,34.26,16.67
B005PII040,0.0,9.09,36.36,9.09,18.18,27.27,0.0
B005JQI6MO,0.0,0.0,16.67,0.0,16.67,50.0,16.67
B004VMV476,35.42,6.25,14.58,2.08,6.25,29.17,6.25
B0062TDM8U,28.57,7.14,7.14,0.0,28.57,21.43,7.14
B005DFEFDU,22.22,0.0,27.78,5.56,11.11,22.22,11.11
B005EC6RAQ,0.0,0.0,33.33,0.0,16.67,50.0,0.0
B003U4W7YU,8.89,13.33,28.89,4.44,6.67,28.89,8.89
B0055PMRSS,23.53,5.88,10.29,13.24,17.65,26.47,2.94
B0052UV0IO,18.75,12.5,6.25,6.25,25.0,31.25,0.0
B0056GVWAK,22.22,0.0,11.11,0.0,22.22,33.33,11.11
B005G828TC,50.0,0.0,16.67,0.0,0.0,16.67,16.67
B005TA6R3A,12.5,0.0,25.0,25.0,12.5,25.0,0.0
B0051GTAP4,46.67,0.0,13.33,0.0,13.33,26.67,0.0
B006JCJZPO,12.5,12.5,37.5,12.5,12.5,12.5,0.0
B006086TTW,10.34,0.0,6.9,10.34,24.14,37.93,10.34
B005DHYSLW,33.33,0.0,16.67,0.0,16.67,33.33,0.0
B005JTNDEM,0.0,6.67,40.0,0.0,0.0,33.33,20.0
B005CRVGUO,22.22,0.0,33.33,0.0,0.0,33.33,11.11
B004OA64RU,20.69,0.0,13.79,6.9,17.24,27.59,13.79
B0057OC8MM,0.0,0.0,38.46,0.0,0.0,46.15,15.38
B004SUOY78,0.0,14.29,50.0,0.0,14.29,21.43,0.0
B0066IG7PC,0.0,5.88,23.53,0.0,0.0,52.94,17.65
B005F9YFAM,0.0,0.0,20.0,0.0,60.0,20.0,0.0
B005GFILNW,16.98,0.0,16.98,0.0,11.32,37.74,16.98
B004WKUUIQ,28.0,0.0,12.0,8.0,8.0,24.0,20.0
B0055TFOM0,9.09,9.09,4.55,0.0,13.64,45.45,18.18
B005DTN6E0,14.29,0.0,14.29,0.0,28.57,0.0,42.86
B004UJHQ9A,0.0,0.0,33.33,0.0,0.0,50.0,16.67
B004Z1KSNY,50.0,0.0,0.0,0.0,12.5,37.5,0.0
B004MYFUCI,14.29,0.0,14.29,0.0,14.29,57.14,0.0
B006BDR3V4,16.67,16.67,66.67,0.0,0.0,0.0,0.0
B0050W9FZO,0.0,16.67,66.67,0.0,0.0,16.67,0.0
B006P5FQGC,20.0,6.67,33.33,6.67,13.33,13.33,6.67
B0056B0P8U,11.11,0.0,33.33,0.0,0.0,55.56,0.0
B003YL4KQ2,33.33,0.0,33.33,0.0,0.0,33.33,0.0
B006NTV8B2,0.0,14.29,42.86,0.0,14.29,14.29,14.29
B00558UQ5G,0.0,0.0,0.0,100.0,0.0,0.0,0.0
B0057ZYBYE,10.0,0.0,60.0,0.0,0.0,30.0,0.0
B005I5NA72,16.67,16.67,50.0,0.0,0.0,16.67,0.0
B0057ZFIAK,14.29,14.29,28.57,0.0,0.0,14.29,28.57
B004U7EUGE,15.0,5.0,30.0,0.0,15.0,25.0,10.0
B005UPNLJM,0.0,0.0,0.0,100.0,0.0,0.0,0.0
B007R7SV8C,11.11,0.0,16.67,5.56,16.67,33.33,16.67
B007BVNF4O,13.27,1.77,12.39,4.42,18.58,30.97,18.58
B0084B1OUM,21.67,1.67,13.33,5.0,15.0,36.67,6.67
B0073NPOH6,18.75,0.0,18.75,12.5,18.75,25.0,6.25
B00838H1OY,25.0,6.25,31.25,0.0,6.25,18.75,12.5
B0057G5BQ0,18.81,3.96,10.89,2.97,22.77,25.74,14.85
B007TX64L0,17.65,0.0,11.76,5.88,17.65,35.29,11.76
B0068UAZ8I,6.82,6.82,15.91,0.0,11.36,45.45,13.64
B007Z4WTBW,9.52,4.76,47.62,0.0,0.0,28.57,9.52
B007HBKZOQ,21.43,0.0,0.0,21.43,14.29,21.43,21.43
B007OALZAI,11.56,3.02,23.62,5.03,16.08,30.65,10.05
B007PPJOGO,20.94,1.57,13.09,1.05,20.42,31.41,11.52
B007W7ZEK0,20.39,2.91,12.62,3.88,18.45,22.33,19.42
B007YU6EVI,27.78,5.56,16.67,5.56,22.22,11.11,11.11
B007B77U8A,15.38,0.0,38.46,0.0,23.08,7.69,15.38
B006GNXPJI,15.79,5.26,26.32,0.0,10.53,26.32,15.79
B004OR1G4O,28.57,14.29,14.29,0.0,14.29,28.57,0.0
B007NJPO2A,18.18,0.0,9.09,0.0,18.18,36.36,18.18
B006LR8UQW,10.0,3.33,10.0,3.33,23.33,36.67,13.33
B007YX9X18,9.09,2.6,19.48,3.9,19.48,28.57,16.88
B006JMNQDG,11.11,0.0,27.78,0.0,19.44,30.56,11.11
B006RNBI6O,13.16,2.63,26.32,2.63,21.05,18.42,15.79
B006Q1V2XQ,13.11,1.64,21.31,0.0,27.87,24.59,11.48
B004WPOHVM,14.29,3.57,21.43,7.14,21.43,25.0,7.14
B007WZ5LHI,23.81,0.0,19.05,4.76,9.52,33.33,9.52
B006YFFQ7C,60.0,0.0,0.0,0.0,0.0,0.0,40.0
B0046ZRYYU,28.57,0.0,28.57,14.29,0.0,28.57,0.0
B00710K2IW,0.0,0.0,40.0,0.0,20.0,40.0,0.0
B0071XTU1Y,25.0,0.0,15.0,5.0,15.0,35.0,5.0
B006JALRCA,40.0,0.0,20.0,0.0,0.0,40.0,0.0
B00785QLNU,20.0,0.0,20.0,0.0,20.0,40.0,0.0
B007A4V33M,13.21,3.77,18.87,3.77,20.75,32.08,7.55
B005UQS3A8,20.0,0.0,20.0,0.0,40.0,20.0,0.0
B007JHJ6NY,8.0,4.0,16.0,8.0,4.0,36.0,24.0
B00887JUQC,23.08,7.69,7.69,7.69,30.77,15.38,7.69
B0075ICGLG,0.0,0.0,20.0,0.0,20.0,40.0,20.0
B007U8LONC,0.0,0.0,16.67,0.0,0.0,66.67,16.67
B007IV425S,0.0,0.0,44.44,0.0,33.33,22.22,0.0
B006NMTMO4,11.11,0.0,22.22,0.0,33.33,33.33,0.0
B004UKD6Q6,0.0,10.0,30.0,10.0,10.0,40.0,0.0
B004TPCNM0,66.67,0.0,33.33,0.0,0.0,0.0,0.0
B006JA2N8W,40.0,0.0,0.0,0.0,40.0,0.0,20.0
B005KLRVY2,30.77,7.69,0.0,0.0,30.77,23.08,7.69
B005DNTMIK,28.57,0.0,7.14,14.29,14.29,28.57,7.14
B007FGF110,38.1,0.0,9.52,0.0,28.57,19.05,4.76
B007E3ESWC,15.15,0.0,36.36,0.0,18.18,21.21,9.09
B007Z4D3U8,30.0,10.0,30.0,0.0,0.0,30.0,0.0
B007OZDNYY,40.0,0.0,20.0,0.0,0.0,40.0,0.0
B005V1GITK,7.14,7.14,17.86,0.0,17.86,46.43,3.57
B006479AUY,16.67,0.0,33.33,0.0,16.67,16.67,16.67
B006XLK2LW,16.67,0.0,33.33,0.0,33.33,16.67,0.0
B007H1OJXE,20.0,0.0,40.0,0.0,20.0,20.0,0.0
B005M9E7V2,0.0,0.0,16.67,0.0,0.0,66.67,16.67
B007IOR7LQ,0.0,0.0,0.0,20.0,0.0,60.0,20.0
B007KE9GWW,20.0,0.0,0.0,0.0,40.0,40.0,0.0
B006X51WGM,40.0,0.0,60.0,0.0,0.0,0.0,0.0
B004YQVLKO,11.11,0.0,11.11,0.0,22.22,55.56,0.0
B005DEWINK,14.1,0.0,24.36,1.28,25.64,25.64,8.97
B0080SA5S6,23.81,4.76,10.48,4.76,18.1,25.71,12.38
B006ZW650Q,11.11,11.11,11.11,0.0,33.33,33.33,0.0
B007CLBKDQ,20.0,0.0,40.0,0.0,20.0,0.0,20.0
B00877Q25K,20.0,0.0,40.0,0.0,0.0,40.0,0.0
B0083Z40N2,33.33,6.67,6.67,6.67,16.67,23.33,6.67
B005MEG260,20.0,0.0,0.0,0.0,20.0,40.0,20.0
B006HMDJN0,21.93,4.39,16.67,4.39,12.28,33.33,7.02
B006PWHCN0,0.0,0.0,33.33,16.67,33.33,16.67,0.0
B0078TEBOM,16.67,5.56,16.67,5.56,11.11,38.89,5.56
B007A4I6FA,0.0,0.0,0.0,0.0,33.33,50.0,16.67
B006V07EES,6.9,10.34,17.24,0.0,3.45,31.03,31.03
B007SCX46K,40.0,0.0,20.0,0.0,0.0,40.0,0.0
